collocate,raw_frequency,MI
hood,1,8.678080791018663
unconsciously,1,7.984933610458718
too,4,4.567206926845351
i,44,3.805315291145528
was,4,2.1957382579543863
moved,1,5.733641811852222
by,1,2.058007584488307
nature,1,4.134786008748659
s,2,2.4505564673299247
strong,1,4.443974286421404
of,10,2.473725069060823
examination,1,7.068642878584562
but,9,3.507596795980511
my,10,3.0255916107500123
father,1,2.743186595399075
came,1,3.2443587874644235
up,2,3.4363337759590205
and,23,2.9112554784189415
with,10,3.5751702208132365
tears,1,4.550946405973572
felt,2,4.717267621421085
that,3,2.1044006240580173
a,20,3.3352681845840753
hypocrite,1,6.73217064196335
is,10,4.160649519338579
below,1,4.9645087243143555
the,23,2.6581132964816194
level,1,6.375495698024618
could,3,3.2560719521280763
not,5,2.9656689896644073
keep,1,4.005251956556757
composure,1,6.886321321790608
when,6,4.134786008748659
affectionate,1,7.068642878584562
blandness,1,8.678080791018663
more,2,3.0852298770697435
persons,1,6.73217064196335
calculated,1,7.984933610458718
to,19,3.1109423175545015
develop,2,8.272615682910498
your,1,2.392082696509798
mind,1,3.7152361607587556
now,5,3.718037283038467
word,1,4.189444421286523
passion,1,5.4592049661504625
rising,1,6.280185518220292
fang,1,8.678080791018663
sublustrous,1,7.984933610458718
like,4,3.9010603481039126
ice,1,5.787709033122498
in,3,1.8454083181608818
moonlight,1,5.63355835329524
sleuth,1,7.984933610458718
as,7,3.1301170532904172
tenacious,1,8.678080791018663
death,1,4.0241204408611395
curdled,1,7.984933610458718
fury,1,6.375495698024618
struck,1,5.094561852562553
noble,1,5.1227327295292495
friend,1,4.145481297865407
chapter,1,4.223733494765155
xviii,1,7.291786429898773
for,7,3.0691324190333007
present,1,4.652729100283514
curiosity,1,6.4808562136824435
gratitude,2,6.426788992412168
all,6,3.3191388026541913
feelings,1,6.280185518220292
indeed,1,4.235429534528347
passions,1,6.886321321790608
except,1,4.1137325995508265
from,2,2.744510222329583
bled,1,7.984933610458718
vein,1,5.844867446962446
rather,1,4.082960940884073
than,2,3.410222631955335
loved,1,4.308632938551641
her,4,2.690373292788393
am,4,4.209303229936126
born,1,5.1227327295292495
love,2,3.9913306180381487
