node,eigenvector_centrality,betweenness_centrality,degree
Donald Trump,0.13764643473642663,0.0026668638469880693,4
Hillary Clinton,0.1438350624031125,0.0005521048999309868,4
Bernie Sanders,0.10333997844627091,0.0,2
Trump,0.22904015200611125,0.022803904170363803,10
Clinton,0.6885744849427456,0.8109336488218478,51
Cruz,0.10257171278216158,0.0,2
Ted Cruz,0.12379878305115273,0.08856354135857243,3
Hillary,0.08548362342831514,0.0,1
Bush,0.17377060010415665,0.1037562851227447,6
Obama,0.1453715353344937,0.08856354135857243,4
Moammar Gadhafi,0.11391789078719515,0.0,2
Matt Lauer,0.11391789078719515,0.0,2
Howard Stern,0.08548362342831514,0.0,1
Neil Cavuto,0.08548362342831514,0.0,1
Cavuto,0.08548362342831514,0.0,1
Chris Matthews,0.08548362342831514,0.0,1
Joe Scarborough,0.08548362342831514,0.0,1
George W. Bush,0.11391789078719515,0.0,2
Condoleezza Rice,0.08548362342831514,0.0,1
Nouri al-Maliki,0.08548362342831514,0.0,1
Leon Panetta,0.08548362342831514,0.0,1
Maliki,0.08548362342831514,0.0,1
Raul Castro,0.08548362342831514,0.0,1
Salman,0.08688765422401122,0.10434782608695652,2
Ronald Reagan,0.08548362342831514,0.0,1
Reagan,0.08548362342831514,0.0,1
Helmut Kohl,0.08548362342831514,0.0,1
Glenn Kessler,0.08548362342831514,0.0,1
Kessler,0.08548362342831514,0.0,1
Richard Nixon,0.08548362342831514,0.0,1
Zhou Enlai,0.08548362342831514,0.0,1
Mao,0.08548362342831514,0.0,1
Nixon,0.08548362342831514,0.0,1
Lauer,0.08548362342831514,0.0,1
Gadhafi,0.11391789078719515,0.0,2
Rachel Maddow,0.08548362342831514,0.0,1
Maddow,0.11391789078719515,0.0,2
Bill Clinton,0.08548362342831514,0.0,1
Ayotte,0.08682172140928707,0.02732919254658385,2
Hassan,0.010778409584144697,0.0,1
George W. Bush,0.08548362342831514,0.0,1
Barack Obama,0.08548362342831514,0.0,1
Bill Bratton,0.08548362342831514,0.0,1
Debi Rose,0.08548362342831514,0.0,1
Bill de Blasio,0.08548362342831514,0.0,1
McConnell,0.07959000327923756,0.30089717046238784,17
Harry M. Reid,0.00988089226395757,0.0,1
D-Nev,0.00988089226395757,0.0,1
John A. Boehner,0.00988089226395757,0.0,1
Reid,0.00988089226395757,0.0,1
Adam Jentleson,0.00988089226395757,0.0,1
Alben W. Barkley,0.00988089226395757,0.0,1
Franklin D. Roosevelt,0.00988089226395757,0.0,1
George Mitchell,0.00988089226395757,0.0,1
Mitchell,0.00988089226395757,0.0,1
George H.W. Bush,0.00988089226395757,0.0,1
Rand Paul,0.00988089226395757,0.0,1
R-Ky.,0.00988089226395757,0.0,1
Joe Biden,0.08548362342831514,0.0,1
Elizabeth Warren,0.08548362342831514,0.0,1
Jeb Bush,0.10032022400714606,0.0,2
Romney,0.11951057012931261,0.0015527950310559005,3
Biden,0.08548362342831514,0.0,1
Coonfield,2.461335486636402e-15,0.0,1
Geller,3.480854026751381e-15,0.00041407867494824016,2
Muhammad,2.461335486636402e-15,0.0,1
Ellen Tauscher,0.08548362342831514,0.0,1
Mateen,0.01130949805121804,0.08074534161490683,4
Zahi Salman,0.0014040307956960786,0.0,1
Angus King,0.0014040307956960786,0.0,1
Peter King,0.0014040307956960786,0.0,1
